Description,Incident#,Location,Agency,Date
MOTOR VEHICLE THEFT,PD190827307205,3200 BLOCK NW 24TH ST RD,Miami-Dade Police,8-27-2019 1:20 AM
MOTOR VEHICLE THEFT,PD190827307443,3200 BLOCK NW 24TH ST RD,Miami-Dade Police,8-27-2019 1:15 AM
RETAIL THEFT,1908270064605,3900 BLOCK SW 8TH ST,Miami Police,8-27-2019 12:53 AM
BURGLARY - RESIDENCE,1908270064604,400 BLOCK NE 18TH ST,Miami Police,8-27-2019 12:36 AM
"FELONY BATTERY (CAUSES) GREAT BODILY HARM, PERM DISABILITY OR DISFIGUREMENT",1908270064600,500 BLOCK NW 5TH ST,Miami Police,8-26-2019 11:44 PM
"BATTERY / AGG / DOMESTIC: VICTIM PREGNANT (MINOR, NO WEAPON OR NO INJURY - NO LOSS OF FETUS)",1908260064595,2600 BLOCK NW 23RD CT,Miami Police,8-26-2019 11:33 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064596,2300 BLOCK N MIAMI AV,Miami Police,8-26-2019 11:32 PM
OVERDUE RENTAL,1908260064420,NW 37TH AVE AND NW 7TH ST,Miami Police,8-26-2019 10:59 PM
BATTERY / SIMPLE,1908260064583,0 BLOCK NW 79TH ST,Miami Police,8-26-2019 10:46 PM
SIMPLE BATTERY,1908260064594,600 BLOCK SW 2ND ST,Miami Police,8-26-2019 10:43 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064581,5300 BLOCK NW 3RD AV,Miami Police,8-26-2019 10:41 PM
THEFT - ALL OTHER,1908260064592,1700 BLOCK N BAYSHORE DR,Miami Police,8-26-2019 10:36 PM
VANDALISM,PD190827307302,3500 BLOCK NW 25TH ST,Miami-Dade Police,8-26-2019 10:30 PM
VEHICLE BREAK-IN/THEFT,PD190827307137,3000 BLOCK NW 68TH ST,Miami-Dade Police,8-26-2019 10:00 PM
ROBBERY - ARMED,1908260064582,2200 BLOCK NW 6TH ST,Miami Police,8-26-2019 9:54 PM
CRIMINAL MISCHIEF / VANDALISM,1908260064578,6600 BLOCK NW 7TH AV,Miami Police,8-26-2019 9:52 PM
THEFT/LARCENY,PD190826306583,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-26-2019 9:23 PM
FRAUDULENTLY USING PERSONEL IDENTIFICATION,1908260064576,1800 BLOCK SW 4TH ST,Miami Police,8-26-2019 8:55 PM
AGGRAVATED ASSAULT,1908260064572,NW 12TH AV / NW 67TH ST,Miami Police,8-26-2019 8:36 PM
SIMPLE ASSAULT,1908260064564,200 BLOCK NW 21ST ST,Miami Police,8-26-2019 8:06 PM
THEFT - FROM BUILDING,1908280064937,100 BLOCK E FLAGLER ST,Miami Police,8-26-2019 7:44 PM
THEFT - FROM MOTOR VEHICLE,1908260064563,NW 5TH AV / NW 24TH ST,Miami Police,8-26-2019 7:34 PM
PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF COCAINE (POWDER OR CRACK),1908260064554,NW 29TH CT / NW 17TH ST,Miami Police,8-26-2019 7:12 PM
DRUGS/ALCOHOL VIOLATIONS,PD190826306534,4900 BLOCK SW 8TH ST,Miami-Dade Police,8-26-2019 6:50 PM
ASSAULT,PD190826306486,4900 BLOCK SW 8TH ST,Miami-Dade Police,8-26-2019 6:50 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064557,1100 BLOCK SW 10TH ST,Miami Police,8-26-2019 6:40 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064557,1100 BLOCK SW 10TH ST,Miami Police,8-26-2019 6:40 PM
THEFT/LARCENY,PD190827307925,3000 BLOCK NW 51ST TER,Miami-Dade Police,8-26-2019 6:30 PM
BURGLARY - RESIDENCE,1908260064550,1300 BLOCK SW 6TH ST,Miami Police,8-26-2019 6:28 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908260064545,3000 BLOCK SW 8TH ST,Miami Police,8-26-2019 6:19 PM
MOTOR VEHICLE THEFT,PD190827306941,6600 BLOCK NW 27TH AVE,Miami-Dade Police,8-26-2019 5:45 PM
THEFT - OF MOTOR VEHICLE PARTS,1908260064541,2200 BLOCK NW 23RD AV,Miami Police,8-26-2019 5:31 PM
VEHICLE BREAK-IN/THEFT,PD190827306857,5100 BLOCK NW 29TH AVE,Miami-Dade Police,8-26-2019 5:30 PM
THEFT/LARCENY,PD190826306375,JMH MAIN,Miami-Dade Police,8-26-2019 5:30 PM
THEFT - OF MOTOR VEHICLE PARTS,1908260064529,2900 BLOCK SW 16TH TER,Miami Police,8-26-2019 5:28 PM
ASSAULT,PD190826306397,7100 BLOCK NW 53RD TER,Miami-Dade Police,8-26-2019 5:00 PM
BURGLARY - RESIDENCE,1908260064513,0 BLOCK NW 79TH ST,Miami Police,8-26-2019 4:06 PM
CRIMINAL MISCHIEF / VANDALISM,1908260064502,200 BLOCK SE 3RD AV,Miami Police,8-26-2019 3:14 PM
RETAIL THEFT,1908260064499,3400 BLOCK N MIAMI AV,Miami Police,8-26-2019 3:11 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064501,NW 6TH AV / NW 24TH ST,Miami Police,8-26-2019 2:58 PM
PETIT THEFT,1908260064494,1700 BLOCK NW 6TH ST,Miami Police,8-26-2019 2:49 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064479,800 BLOCK SW 4TH ST,Miami Police,8-26-2019 2:17 PM
THEFT/LARCENY,PD190826306142,3100 BLOCK NW 72ND AVE,Miami-Dade Police,8-26-2019 2:06 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064493,700 BLOCK NW 1ST ST,Miami Police,8-26-2019 2:01 PM
THEFT/LARCENY,PD190905318191,7700 BLOCK NW 9TH AVE,Miami-Dade Police,8-26-2019 2:00 PM
BURGLARY,PD190831313003,5900 BLOCK NW 29TH AVE,Miami-Dade Police,8-26-2019 2:00 PM
FRAUDULENT USE OF CREDIT CARDS / MORE THAN 2 TIMES IN 6 MOS OR $100 OR MORE,1908260064491,1200 BLOCK SW 22ND ST,Miami Police,8-26-2019 1:56 PM
GRAND THEFT,1908260064481,2400 BLOCK N MIAMI AVE,Miami Police,8-26-2019 1:50 PM
DRUGS/ALCOHOL VIOLATIONS,PD190826306060,900 BLOCK N CRUISE BLVD,Miami-Dade Police,8-26-2019 1:23 PM
CRIMINAL MISCHIEF / VANDALISM,1908260064466,1200 BLOCK NW 40TH ST,Miami Police,8-26-2019 12:59 PM
ASSAULT,PD190826306475,3300 BLOCK NW 27TH AVE,Miami-Dade Police,8-26-2019 12:58 PM
FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),1908260064463,1700 BLOCK NW 17TH AV,Miami Police,8-26-2019 12:46 PM
BATTERY / SIMPLE,1908260064464,6400 BLOCK SW 6TH ST,Miami Police,8-26-2019 12:41 PM
THEFT - ALL OTHER,1908260064451,200 BLOCK NE 4TH ST,Miami Police,8-26-2019 12:39 PM
BATTERY / SIMPLE,1908260064470,BISCAYNE BLVD / NE 15TH ST,Miami Police,8-26-2019 12:39 PM
CRIMINAL MISCHIEF / VANDALISM,1908260064468,6600 BLOCK N MIAMI AV,Miami Police,8-26-2019 12:33 PM
VEHICLE BREAK-IN/THEFT,PD190826306007,3600 BLOCK NW 71ST ST,Miami-Dade Police,8-26-2019 12:18 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064448,100 BLOCK SW 6TH AV,Miami Police,8-26-2019 12:16 PM
THEFT - ALL OTHER,1908260064456,3400 BLOCK N MIAMI AV,Miami Police,8-26-2019 12:10 PM
THEFT/LARCENY,PD190826306384,8200 BLOCK NW 1ST PL,Miami-Dade Police,8-26-2019 12:00 PM
AUTO THEFT,1908260064465,1200 BLOCK NW 36TH ST,Miami Police,8-26-2019 11:59 AM
SIMPLE ASSAULT,1908260064437,900 BLOCK SW 5TH ST,Miami Police,8-26-2019 11:52 AM
ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,1908260064445,1600 BLOCK NW 17TH AV,Miami Police,8-26-2019 11:41 AM
VEHICLE BREAK-IN/THEFT,PD190826306031,3200 BLOCK NW 68TH ST,Miami-Dade Police,8-26-2019 11:30 AM
SIMPLE ASSAULT,1908260064438,1400 BLOCK NW 3RD AV,Miami Police,8-26-2019 11:20 AM
BATTERY / SIMPLE,1908260064430,200 BLOCK NW 15TH ST,Miami Police,8-26-2019 11:11 AM
BURGLARY / STRUCTURE NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908260064436,7000 BLOCK BISCAYNE BLVD,Miami Police,8-26-2019 11:11 AM
BURGLARY - OTHER STRUCTURE,1908260064436,7000 BLOCK BISCAYNE BLVD,Miami Police,8-26-2019 11:11 AM
BURGLARY / STRUCTURE NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908260064436,7000 BLOCK BISCAYNE BLVD,Miami Police,8-26-2019 11:11 AM
CRIMINAL MISCHIEF / VANDALISM,1908260064435,6400 BLOCK SW 6TH ST,Miami Police,8-26-2019 10:57 AM
GRAND THEFT - FROM POSTED DESIGNATED CONSTRUCTION SITE (GREATER THAN $300),1908260064454,700 BLOCK NW 17TH AV,Miami Police,8-26-2019 10:54 AM
"GRAND THEFT - UNSPECIFIED - $5,000 TO LESS THAN $10,000",1908260064441,1300 BLOCK S MIAMI AV,Miami Police,8-26-2019 10:52 AM
THEFT - ALL OTHER,1908260064423,400 BLOCK NW 25TH CT,Miami Police,8-26-2019 10:46 AM
BATTERY / SIMPLE,1908260064433,600 BLOCK SW 71ST CT,Miami Police,8-26-2019 10:31 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064418,3200 BLOCK NW 11TH CT,Miami Police,8-26-2019 10:23 AM
THEFT - FROM MOTOR VEHICLE,1908260064444,4800 BLOCK SW 8TH ST,Miami Police,8-26-2019 10:10 AM
THEFT - FROM MOTOR VEHICLE,1908260064413,5100 BLOCK NW 18TH AVE,Miami Police,8-26-2019 10:06 AM
THEFT/LARCENY,PD190903315772,JMH MAIN,Miami-Dade Police,8-26-2019 10:00 AM
ORGANIZED FRAUD: ENGAGES IN SCHEME - COMMUNICATES WITH VICTIM - $300 OR MORE,1908260064407,800 BLOCK NW 32ND PL,Miami Police,8-26-2019 9:55 AM
THEFT - FROM MOTOR VEHICLE,1908260064422,1700 BLOCK SW 22ND ST,Miami Police,8-26-2019 9:48 AM
THEFT - FROM MOTOR VEHICLE,1908260064404,1000 BLOCK SW 2ND AV,Miami Police,8-26-2019 9:39 AM
OVERDUE RENTAL,1908260064420,1000 BLOCK NE 1ST AV,Miami Police,8-26-2019 9:38 AM
CRIMINAL MISCHIEF / VANDALISM,1908260064411,100 BLOCK NW 58TH ST,Miami Police,8-26-2019 9:32 AM
BURGLARY,PD190826305845,1900 BLOCK NW 58TH ST,Miami-Dade Police,8-26-2019 9:28 AM
CRIMINAL MISCHIEF / VANDALISM,1908260064400,400 BLOCK SW 11TH AV,Miami Police,8-26-2019 8:59 AM
GRAND THEFT,1908260064410,500 BLOCK NE 79TH ST,Miami Police,8-26-2019 8:44 AM
THEFT/LARCENY,PD190826306367,8200 BLOCK NW 1ST PL,Miami-Dade Police,8-26-2019 8:30 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064381,1600 BLOCK NW 16TH ST,Miami Police,8-26-2019 8:01 AM
THEFT/LARCENY,PD190904317334,3000 BLOCK NW 51ST ST,Miami-Dade Police,8-26-2019 8:00 AM
AUTO THEFT,1908260064384,1600 BLOCK SW 32ND AV,Miami Police,8-26-2019 7:56 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064382,0 BLOCK NE 23RD ST,Miami Police,8-26-2019 7:45 AM
ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1908260064375,800 BLOCK SW 5TH ST,Miami Police,8-26-2019 7:03 AM
AUTO THEFT,1908260064374,400 BLOCK NW 25TH CT,Miami Police,8-26-2019 6:50 AM
THEFT/LARCENY,PD190826305704,3100 BLOCK NW 34TH ST,Miami-Dade Police,8-26-2019 6:00 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064367,SW 29TH AV / SW 15TH ST,Miami Police,8-26-2019 5:44 AM
CRIMINAL MISCHIEF / VANDALISM,1908260064365,2600 BLOCK NW 22ND CT,Miami Police,8-26-2019 5:25 AM
BURGLARY / STRUCTURE NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908260064363,1600 BLOCK NE 2ND AV,Miami Police,8-26-2019 4:28 AM
BURGLARY - OTHER STRUCTURE,1908260064363,1600 BLOCK NE 2ND AV,Miami Police,8-26-2019 4:28 AM
BURGLARY - OTHER STRUCTURE,1908260064363,1600 BLOCK NE 2ND AV,Miami Police,8-26-2019 4:28 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064358,"1400 BLOCK NW 3RD ST,",Miami Police,8-26-2019 2:27 AM
BATTERY / SIMPLE,1908260064353,1600 BLOCK NW 23RD ST,Miami Police,8-26-2019 2:15 AM
ASSAULT,PD190826305509,3500 BLOCK NW 79TH ST,Miami-Dade Police,8-26-2019 2:07 AM
GRAND THEFT - A FIREARM,1908260064344,NW 12TH AV / NW 46TH ST,Miami Police,8-26-2019 1:45 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064345,2500 BLOCK NW 2ND AV,Miami Police,8-26-2019 1:27 AM
BATTERY / SIMPLE,1908260064339,NW 2ND AV / NW 24TH ST,Miami Police,8-26-2019 12:21 AM
ROBBERY,PD190826305464,6100 BLOCK NW 27TH AVE,Miami-Dade Police,8-26-2019 12:05 AM
FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),1908260064333,100 BLOCK NW 11TH AV,Miami Police,8-26-2019 12:02 AM
THEFT/LARCENY,PD190830311326,800 BLOCK NW 76TH ST,Miami-Dade Police,8-26-2019 12:00 AM
ASSAULT,PD190826036185,NW 14TH CT & NW 79TH ST,Miami-Dade Police,8-26-2019 12:00 AM
ASSAULT,PD190825305439,NW 18TH AVE & NW 68TH ST,Miami-Dade Police,8-25-2019 11:45 PM
MOTOR VEHICLE THEFT,PD190826305872,2700 BLOCK NW 73RD ST,Miami-Dade Police,8-25-2019 11:00 PM
ROBBERY,PD190826306621,700 BLOCK NW 81ST ST,Miami-Dade Police,8-25-2019 11:00 PM
RETAIL THEFT,1908250064326,7900 BLOCK NW 6TH AV,Miami Police,8-25-2019 10:45 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908250064329,1400 BLOCK SW 3RD ST,Miami Police,8-25-2019 10:29 PM
BATTERY / DOMESTIC,1908250064323,1300 BLOCK NW 3RD ST,Miami Police,8-25-2019 10:27 PM
BATTERY / DOMESTIC,1908250064323,1300 BLOCK NW 3RD ST,Miami Police,8-25-2019 10:27 PM
CRIMINAL MISCHIEF / VANDALISM,1908250064322,7100 BLOCK NW 7TH AV,Miami Police,8-25-2019 10:03 PM
CRIMINAL MISCHIEF / VANDALISM,1908250064318,1300 BLOCK NW 15TH ST,Miami Police,8-25-2019 9:45 PM
THEFT/LARCENY,PD190825305323,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-25-2019 8:57 PM
THEFT/LARCENY,PD190825305346,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-25-2019 8:23 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908250064307,700 BLOCK NW 1ST AV,Miami Police,8-25-2019 8:00 PM
THEFT/LARCENY,PD190827306937,7200 BLOCK NW 6TH ST,Miami-Dade Police,8-25-2019 8:00 PM
MOTOR VEHICLE THEFT,PD190826305473,NW 77TH TER & NW 22ND AVE,Miami-Dade Police,8-25-2019 8:00 PM
"GRAND THEFT - UNSPECIFIED - $20,000 TO LESS THAN $100,000",1908250064304,400 BLOCK BRICKELL AV,Miami Police,8-25-2019 7:54 PM
THEFT - FROM MOTOR VEHICLE,1908250064296,1500 BLOCK NW 67TH ST,Miami Police,8-25-2019 7:41 PM
THEFT/LARCENY,PD190905318851,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-25-2019 7:32 PM
BATTERY / SIMPLE,1908250064294,600 BLOCK SW 1ST CT,Miami Police,8-25-2019 7:31 PM
ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1908250064295,2200 BLOCK NW 6TH ST,Miami Police,8-25-2019 6:48 PM
CRIMINAL MISCHIEF / VANDALISM,1908250064285,3100 BLOCK NW 5TH AV,Miami Police,8-25-2019 6:44 PM
THEFT OF BICYCLE,1908250064276,5400 BLOCK NW 2ND AV,Miami Police,8-25-2019 6:09 PM
CRIMINAL MISCHIEF / VANDALISM,1908250064273,NW 2ND AVE AND NW 28 TH ST,Miami Police,8-25-2019 5:52 PM
GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1908250064281,800 BLOCK NW 13TH AV,Miami Police,8-25-2019 5:41 PM
THEFT - OF MOTOR VEHICLE PARTS,1908250064265,5600 BLOCK NW 2ND AV,Miami Police,8-25-2019 5:07 PM
ASSAULT,PD190825305070,2200 BLOCK NW 65TH ST,Miami-Dade Police,8-25-2019 4:49 PM
VANDALISM,PD190825305083,300 BLOCK NW 84TH TER,Miami-Dade Police,8-25-2019 4:45 PM
PETIT THEFT - FROM MOTOR VEHICLE / $100 TO LESS THAN $300,1908250064254,3600 BLOCK NE 1ST AV,Miami Police,8-25-2019 4:09 PM
BURGLARY - OTHER STRUCTURE,1908250064252,7000 BLOCK NW 7TH AV,Miami Police,8-25-2019 3:49 PM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908250064251,NW 8TH AV / NW 2ND ST,Miami Police,8-25-2019 3:42 PM
THEFT/LARCENY,PD190825305049,7900 BLOCK NW 27TH AVE,Miami-Dade Police,8-25-2019 3:30 PM
GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908250064250,3400 BLOCK N MIAMI AV,Miami Police,8-25-2019 2:42 PM
ROBBERY,PD190825304922,1100 BLOCK NW 79TH ST,Miami-Dade Police,8-25-2019 1:46 PM
PETIT THEFT - RETAIL / LESS THAN $100,1908250064228,2100 BLOCK SW 8TH ST,Miami Police,8-25-2019 1:41 PM
RETAIL THEFT,1908250064212,NW 27TH AV / NW 7TH ST,Miami Police,8-25-2019 12:15 PM
THEFT/LARCENY,PD190825304867,7900 BLOCK NW 27TH AVE,Miami-Dade Police,8-25-2019 12:13 PM
SIMPLE BATTERY,1908250064209,2100 BLOCK SW 1ST ST,Miami Police,8-25-2019 11:39 AM
RETAIL THEFT,1908250064227,900 BLOCK SW 8TH ST,Miami Police,8-25-2019 11:26 AM
GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1908250064201,3700 BLOCK NW 27TH AV,Miami Police,8-25-2019 11:10 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908250064197,8200 BLOCK NE BAYSHORE DR,Miami Police,8-25-2019 11:03 AM
AUTO THEFT,1908250064204,1000 BLOCK BISCAYNE BLVD,Miami Police,8-25-2019 11:00 AM
THEFT - ALL OTHER,1908280064931,1100 BLOCK SW 13TH CT,Miami Police,8-25-2019 10:57 AM
THEFT - ALL OTHER,1908250064200,800 BLOCK NW 7TH AV,Miami Police,8-25-2019 10:45 AM
THEFT - FROM MOTOR VEHICLE,1908250064222,1800 BLOCK NW 8TH ST,Miami Police,8-25-2019 10:15 AM
BATTERY / DOMESTIC,1908250064207,SW 1ST CT / SW 2ND ST,Miami Police,8-25-2019 9:57 AM
THEFT - FROM MOTOR VEHICLE,1908250064195,2600 BLOCK SW 9TH ST,Miami Police,8-25-2019 9:42 AM
AUTO THEFT,1908250064182,1700 BLOCK NW 41 ST,Miami Police,8-25-2019 9:27 AM
ASSAULT,PD190825304690,3000 BLOCK NW 57TH ST,Miami-Dade Police,8-25-2019 9:19 AM
CRIMINAL MISCHIEF / VANDALISM,1908250064179,2100 BLOCK NW 18TH AV,Miami Police,8-25-2019 8:48 AM
PETIT THEFT - MOTOR VEH PARTS/ACCESSORIES,1908250064176,1600 BLOCK NW 4TH AV,Miami Police,8-25-2019 8:31 AM
VANDALISM,PD190825304658,7000 BLOCK NW 41ST ST,Miami-Dade Police,8-25-2019 8:20 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908250064175,200 BLOCK NW 63RD ST,Miami Police,8-25-2019 8:08 AM
ATTEMPTED MURDER,1908250064172,SW 34TH AVE & SW 7TH ST,Miami Police,8-25-2019 8:00 AM
FRAUD,PD190825304801,5500 BLOCK BLUE LAGOON DR,Miami-Dade Police,8-25-2019 8:00 AM
THEFT/LARCENY,PD190825304755,5500 BLOCK BLUE LAGOON DR,Miami-Dade Police,8-25-2019 8:00 AM
ROBBERY - STRONG ARM,1908250064162,3500 BLOCK NW 10TH AV,Miami Police,8-25-2019 6:45 AM
"SHOOT/THROW DEADLY MISSILES INTO DWELLING, PUBLIC/PRIVATE BLDG/VEHICLE - OCCUPIED, PERSON LISTED AS",1908250064161,5500 BLOCK NW 3RD AV,Miami Police,8-25-2019 6:22 AM
DISCHARGE FIREARM IN PUBLIC,1908250064158,1100 BLOCK NW 54TH ST,Miami Police,8-25-2019 6:16 AM
AGGRAVATED BATTERY,1908250064157,500 BLOCK NW 43RD ST,Miami Police,8-25-2019 5:15 AM
GRAND THEFT,1908250064147,1500 BLOCK NW 61ST ST,Miami Police,8-25-2019 4:20 AM
THEFT - PICK POCKET,1908250064134,1500 BLOCK SW 8TH ST,Miami Police,8-25-2019 3:05 AM
THEFT - PICK POCKET,1908250064133,1400 BLOCK S MIAMI AV,Miami Police,8-25-2019 3:03 AM
ASSAULT,PD190825304524,3200 BLOCK NW 48TH TER,Miami-Dade Police,8-25-2019 2:56 AM
"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908250064149,1700 BLOCK SW 1ST AVE,Miami Police,8-25-2019 2:52 AM
BATTERY / SIMPLE,1908250064131,2000 BLOCK NW 10TH AVE,Miami Police,8-25-2019 2:35 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908250064128,NE 16TH ST / NE MIAMI PL,Miami Police,8-25-2019 2:11 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908250064128,NE 16TH ST / NE MIAMI PL,Miami Police,8-25-2019 2:11 AM
DRUGS/ALCOHOL VIOLATIONS,PD190825304621,4400 BLOCK SW 8TH ST,Miami-Dade Police,8-25-2019 2:10 AM
VANDALISM,PD190826305761,2000 BLOCK NW 84TH ST,Miami-Dade Police,8-25-2019 2:00 AM
MURDER,1908250064125,1500 BLOCK NW 61ST ST,Miami Police,8-25-2019 1:50 AM
DISCHARGE FIREARM IN PUBLIC,1908250064117,6900 BLOCK NW 4TH AV,Miami Police,8-25-2019 12:46 AM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908250064120,4800 BLOCK SW 5TH TER,Miami Police,8-25-2019 12:42 AM
THEFT - ALL OTHER,1908250064118,0 BLOCK SW 11TH ST,Miami Police,8-25-2019 12:39 AM
SIMPLE ASSAULT,1908250064114,1000 BLOCK NW 66TH ST,Miami Police,8-25-2019 12:37 AM
THEFT/LARCENY,PD190825304400,1700 BLOCK NW 79TH ST,Miami-Dade Police,8-25-2019 12:35 AM
ASSAULT,PD190825304389,7600 BLOCK NW 27TH AVE,Miami-Dade Police,8-25-2019 12:30 AM
THEFT/LARCENY,PD190825304607,3000 BLOCK NW 32ND ST,Miami-Dade Police,8-25-2019 12:30 AM
HOMICIDE,PD190825304387,2000 BLOCK NW 67TH ST,Miami-Dade Police,8-25-2019 12:27 AM
BATTERY / SIMPLE,1908250064109,800 BLOCK NE 79TH ST,Miami Police,8-25-2019 12:00 AM
BATTERY / DOMESTIC,1908250064108,200 BLOCK NW 33RD ST,Miami Police,8-24-2019 11:56 PM
RETAIL THEFT,1908250064106,1600 BLOCK W FLAGLER ST,Miami Police,8-24-2019 11:40 PM
MOTOR VEHICLE THEFT,PD190825304716,200 BLOCK NW 71ST AVE,Miami-Dade Police,8-24-2019 11:30 PM
GRAND THEFT - A FIREARM,1908240064102,NW 7TH AV / NW 23RD ST,Miami Police,8-24-2019 11:26 PM
BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908240064101,3200 BLOCK NE MIAMI CT,Miami Police,8-24-2019 10:57 PM
THEFT/LARCENY,PD190824304165,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-24-2019 8:53 PM
ROBBERY BY SUDDEN SNATCH - NO FORCE,1908240064086,100 BLOCK NW 14TH ST,Miami Police,8-24-2019 8:25 PM
THEFT/LARCENY,PD190824304147,NW 81ST ST & NW 9TH AVE,Miami-Dade Police,8-24-2019 8:20 PM
ASSAULT,PD190824304103,2300 BLOCK NW 58TH ST,Miami-Dade Police,8-24-2019 7:48 PM
THEFT/LARCENY,PD190824304089,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-24-2019 7:35 PM
AUTO THEFT,1908240064080,1800 BLOCK NW 17TH AV,Miami Police,8-24-2019 7:34 PM
SIMPLE BATTERY,1908240064079,700 BLOCK NW 1ST ST,Miami Police,8-24-2019 7:32 PM
ASSAULT / AGG / DOMESTIC,1908240064071,500 BLOCK NW 36TH ST,Miami Police,8-24-2019 7:28 PM
GRAND THEFT,1908240064078,1500 BLOCK SW 22ND ST,Miami Police,8-24-2019 7:19 PM
BURGLARY - RESIDENCE,1908240064070,7600 BLOCK N MIAMI AV,Miami Police,8-24-2019 7:19 PM
BURGLARY,PD190824304060,2000 BLOCK NW 64TH ST,Miami-Dade Police,8-24-2019 7:02 PM
THEFT/LARCENY,PD190824304012,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-24-2019 6:18 PM
ROBBERY - ARMED,1908240064057,2300 BLOCK NW 3RD ST,Miami Police,8-24-2019 6:11 PM
ROBBERY - ARMED,1908240064057,2300 BLOCK NW 3RD ST,Miami Police,8-24-2019 6:11 PM
ROBBERY - ARMED,1908240064057,2300 BLOCK NW 3RD ST,Miami Police,8-24-2019 6:11 PM
THEFT/LARCENY,PD190824304021,2700 BLOCK NW 79TH ST,Miami-Dade Police,8-24-2019 6:05 PM
THEFT - OF MOTOR VEHICLE PARTS,1908240064055,2500 BLOCK SW 16TH TER,Miami Police,8-24-2019 5:53 PM
RETAIL THEFT,1908240064056,4800 BLOCK BISCAYNE BLVD,Miami Police,8-24-2019 5:48 PM
RETAIL THEFT,1908240064046,3600 BLOCK SW 22ND ST,Miami Police,8-24-2019 5:18 PM
PETIT THEFT - UNSPECIFIED / $100 TO LESS THAN $300,1908240064038,200 BLOCK BISCAYNE BLWY,Miami Police,8-24-2019 4:58 PM
POSSESSION OF COCAINE/ CONSTRUCTIVE POSSESSION,1908240064032,4600 BLOCK NW 11TH AV,Miami Police,8-24-2019 4:31 PM
ROBBERY BY SUDDEN SNATCH - WITH FORCE,1908240064034,1700 BLOCK NW 1ST PL,Miami Police,8-24-2019 4:27 PM
ROBBERY BY SUDDEN SNATCH - WITH FORCE,1908240064034,1700 BLOCK NW 1ST PL,Miami Police,8-24-2019 4:27 PM
BATTERY / DOMESTIC,1908240064047,500 BLOCK NW 47TH ST,Miami Police,8-24-2019 4:19 PM
AUTO THEFT,1908240064042,0 BLOCK NE 79TH ST,Miami Police,8-24-2019 4:15 PM
ASSAULT,PD190824303884,3600 BLOCK NW 30TH AVE,Miami-Dade Police,8-24-2019 4:15 PM
THEFT - OF MOTOR VEHICLE PARTS,1908240064061,500 BLOCK NW 48TH ST,Miami Police,8-24-2019 4:12 PM
THEFT - OF MOTOR VEHICLE PARTS,1908240064061,500 BLOCK NW 47TH ST,Miami Police,8-24-2019 4:12 PM
