,Description,Incident#,Location,Agency,Date,location,New
1471,PETIT THEFT - WITH 1 PREVIOUS THEFT CONVICTION,1908270064686,900 BLOCK SW 8TH ST,Miami Police,8-27-2019 9:12 AM,"[-80.252758, 25.774196]",25.8354273
1472,THEFT - OF MOTOR VEHICLE PARTS,1908270064670,300 BLOCK W FLAGLER ST,Miami Police,8-27-2019 9:00 AM,"[-80.19777979999999, 25.7759653]",25.8354273
1473,CRIMINAL MISCHIEF / VANDALISM,1908270064663,NW 22ND AV / NW 11TH ST,Miami Police,8-27-2019 8:55 AM,"[-80.21949579999999, 25.7944407]",25.8354273
1474,FRAUDULENT USE OF CREDIT CARDS / MORE THAN 2 TIMES IN 6 MOS OR $100 OR MORE,1908270064674,1200 BLOCK SW 22ND ST,Miami Police,8-27-2019 8:50 AM,"[-80.18586959999999, 25.8065442]",25.8354273
1475,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908270064657,800 BLOCK SW 6TH ST,Miami Police,8-27-2019 8:40 AM,"[-80.2127544, 25.7917353]",25.8354273
1476,BATTERY / SIMPLE,1908270064676,NW 12TH AV / NW 62ND ST,Miami Police,8-27-2019 8:24 AM,"[-80.1949601, 25.8461613]",25.8354273
1477,BATTERY / SIMPLE,1908270064676,NW 12TH AV / NW 62ND ST,Miami Police,8-27-2019 8:24 AM,"[-80.2430188, 25.767567]",25.8354273
1478,CRIMINAL MISCHIEF / VANDALISM,1908270064647,1100 BLOCK NW 31ST AV,Miami Police,8-27-2019 8:01 AM,"[-80.2023627, 25.8356749]",25.8354273
1479,CRIMINAL MISCHIEF / VANDALISM,1908270064651,2300 BLOCK NW 35TH ST,Miami Police,8-27-2019 7:56 AM,"[-80.22450950000001, 25.8229624]",25.8354273
1480,THEFT - ALL OTHER,1908270064639,SW 27TH AV / W FLAGLER ST,Miami Police,8-27-2019 7:41 AM,"[-80.2029874, 25.7976462]",25.8354273
1481,DRUGS/ALCOHOL VIOLATIONS,PD190827306985,6000 BLOCK NW 13TH AVE,Miami-Dade Police,8-27-2019 7:40 AM,"[-80.21169479999999, 25.8056711]",25.8354273
1482,THEFT - ALL OTHER,1908270064633,2200 BLOCK N MIAMI AV,Miami Police,8-27-2019 6:48 AM,"[-80.20854109999999, 25.8332208]",25.8354273
1483,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908270064634,700 BLOCK NE 71ST ST,Miami Police,8-27-2019 6:28 AM,"[-80.1909933, 25.7953954]",25.8354273
1484,ASSAULT,PD190827306862,NW 63RD ST & NW 18TH AVE,Miami-Dade Police,8-27-2019 6:22 AM,"[-80.1914392, 25.7649472]",25.8354273
1485,THEFT - ALL OTHER,1908270064632,6700 BLOCK W FLAGLER ST,Miami Police,8-27-2019 6:06 AM,"[-80.2226982, 25.7707524]",25.8354273
1486,THEFT - OF MOTOR VEHICLE PARTS,1908270064626,2700 BLOCK NW 4TH TER,Miami Police,8-27-2019 5:40 AM,"[-80.3137593, 25.8088976]",25.8354273
1487,BATTERY / DOMESTIC,1908270064623,2300 BLOCK NW 35TH ST,Miami Police,8-27-2019 4:55 AM,"[-80.1903518, 25.8478653]",25.8354273
1488,PETIT THEFT,1908270064619,NW 17TH AV / NW 62ND ST,Miami Police,8-27-2019 3:31 AM,"[-80.30567649999999, 25.7501061]",25.8354273
1489,ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,1908270064620,NW 7TH AV / NW 1ST ST,Miami Police,8-27-2019 3:18 AM,"[-80.2870509, 25.7958723]",25.8354273
1490,MOTOR VEHICLE THEFT,PD190827307205,3200 BLOCK NW 24TH ST RD,Miami-Dade Police,8-27-2019 1:20 AM,"[-80.2075339, 25.8027586]",25.8354273
1491,MOTOR VEHICLE THEFT,PD190827307443,3200 BLOCK NW 24TH ST RD,Miami-Dade Police,8-27-2019 1:15 AM,"[-80.2408927, 25.8248535]",25.8354273
1492,RETAIL THEFT,1908270064605,3900 BLOCK SW 8TH ST,Miami Police,8-27-2019 12:53 AM,"[-80.20635899999999, 25.7755559]",25.8354273
1493,BURGLARY - RESIDENCE,1908270064604,400 BLOCK NE 18TH ST,Miami Police,8-27-2019 12:36 AM,"[-80.1885685, 25.7714767]",25.8354273
1494,"FELONY BATTERY (CAUSES) GREAT BODILY HARM, PERM DISABILITY OR DISFIGUREMENT",1908270064600,500 BLOCK NW 5TH ST,Miami Police,8-26-2019 11:44 PM,"[-80.25968329999999, 25.7715503]",25.8354273
1495,"BATTERY / AGG / DOMESTIC: VICTIM PREGNANT (MINOR, NO WEAPON OR NO INJURY - NO LOSS OF FETUS)",1908260064595,2600 BLOCK NW 23RD CT,Miami Police,8-26-2019 11:33 PM,"[-80.239539, 25.7830368]",25.8354273
1496,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064596,2300 BLOCK N MIAMI AV,Miami Police,8-26-2019 11:32 PM,"[-80.18469410000002, 25.8478462]",25.8354273
1497,OVERDUE RENTAL,1908260064420,NW 37TH AVE AND NW 7TH ST,Miami Police,8-26-2019 10:59 PM,"[-80.24328779999999, 25.8291558]",25.8354273
1498,BATTERY / SIMPLE,1908260064583,0 BLOCK NW 79TH ST,Miami Police,8-26-2019 10:46 PM,"[-80.21838369999999, 25.7585059]",25.8354273
1499,SIMPLE BATTERY,1908260064594,600 BLOCK SW 2ND ST,Miami Police,8-26-2019 10:43 PM,"[-80.2394176, 25.7794581]",25.8354273
1500,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064581,5300 BLOCK NW 3RD AV,Miami Police,8-26-2019 10:41 PM,"[-80.2568107, 25.8073357]",25.8354273
1501,THEFT - ALL OTHER,1908260064592,1700 BLOCK N BAYSHORE DR,Miami Police,8-26-2019 10:36 PM,"[-80.3599925, 25.7693105]",25.8354273
1502,VANDALISM,PD190827307302,3500 BLOCK NW 25TH ST,Miami-Dade Police,8-26-2019 10:30 PM,"[-80.2091682, 25.8435564]",25.8354273
1503,VEHICLE BREAK-IN/THEFT,PD190827307137,3000 BLOCK NW 68TH ST,Miami-Dade Police,8-26-2019 10:00 PM,"[-80.27188579999999, 25.7772571]",25.8354273
1504,ROBBERY - ARMED,1908260064582,2200 BLOCK NW 6TH ST,Miami Police,8-26-2019 9:54 PM,"[-80.2870509, 25.7958723]",25.8354273
1505,CRIMINAL MISCHIEF / VANDALISM,1908260064578,6600 BLOCK NW 7TH AV,Miami Police,8-26-2019 9:52 PM,"[-80.25358299999999, 25.843639]",25.8354273
1506,THEFT/LARCENY,PD190826306583,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-26-2019 9:23 PM,"[-80.2425681, 25.8479395]",25.8354273
1507,FRAUDULENTLY USING PERSONEL IDENTIFICATION,1908260064576,1800 BLOCK SW 4TH ST,Miami Police,8-26-2019 8:55 PM,"[-80.2013674, 25.8470072]",25.8354273
1508,AGGRAVATED ASSAULT,1908260064572,NW 12TH AV / NW 67TH ST,Miami Police,8-26-2019 8:36 PM,,25.8354273
1509,SIMPLE ASSAULT,1908260064564,200 BLOCK NW 21ST ST,Miami Police,8-26-2019 8:06 PM,"[-80.2087588, 25.8378224]",25.8354273
1510,THEFT - FROM BUILDING,1908280064937,100 BLOCK E FLAGLER ST,Miami Police,8-26-2019 7:44 PM,"[-80.14241, 25.956064]",25.8354273
1511,THEFT - FROM MOTOR VEHICLE,1908260064563,NW 5TH AV / NW 24TH ST,Miami Police,8-26-2019 7:34 PM,"[-80.2055719, 25.819823]",25.8354273
1512,PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF COCAINE (POWDER OR CRACK),1908260064554,NW 29TH CT / NW 17TH ST,Miami Police,8-26-2019 7:12 PM,"[-80.19298599999999, 25.788069]",25.8354273
1513,DRUGS/ALCOHOL VIOLATIONS,PD190826306534,4900 BLOCK SW 8TH ST,Miami-Dade Police,8-26-2019 6:50 PM,"[-80.2371088, 25.8322469]",25.8354273
1514,ASSAULT,PD190826306486,4900 BLOCK SW 8TH ST,Miami-Dade Police,8-26-2019 6:50 PM,"[-80.2754408, 25.7974139]",25.8354273
1515,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064557,1100 BLOCK SW 10TH ST,Miami Police,8-26-2019 6:40 PM,"[-80.2011948, 25.7777864]",25.8354273
1516,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064557,1100 BLOCK SW 10TH ST,Miami Police,8-26-2019 6:40 PM,"[-80.18948329999999, 25.8064988]",25.8354273
1517,THEFT/LARCENY,PD190827307925,3000 BLOCK NW 51ST TER,Miami-Dade Police,8-26-2019 6:30 PM,"[-80.19190119999999, 25.7742087]",25.8354273
1518,BURGLARY - RESIDENCE,1908260064550,1300 BLOCK SW 6TH ST,Miami Police,8-26-2019 6:28 PM,"[-80.2112051, 25.8467127]",25.8354273
1519,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,1908260064545,3000 BLOCK SW 8TH ST,Miami Police,8-26-2019 6:19 PM,"[-80.2126655, 25.8344126]",25.8354273
1520,MOTOR VEHICLE THEFT,PD190827306941,6600 BLOCK NW 27TH AVE,Miami-Dade Police,8-26-2019 5:45 PM,"[-80.2425681, 25.8479395]",25.8354273
1521,THEFT - OF MOTOR VEHICLE PARTS,1908260064541,2200 BLOCK NW 23RD AV,Miami Police,8-26-2019 5:31 PM,"[-80.2271009, 25.8353362]",25.8354273
1522,VEHICLE BREAK-IN/THEFT,PD190827306857,5100 BLOCK NW 29TH AVE,Miami-Dade Police,8-26-2019 5:30 PM,"[-80.2550883, 25.8286349]",25.8354273
1523,THEFT/LARCENY,PD190826306375,JMH MAIN,Miami-Dade Police,8-26-2019 5:30 PM,"[-80.2158791, 25.7896673]",25.8354273
1524,THEFT - OF MOTOR VEHICLE PARTS,1908260064529,2900 BLOCK SW 16TH TER,Miami Police,8-26-2019 5:28 PM,"[-80.1921513, 25.7800004]",25.8354273
1525,ASSAULT,PD190826306397,7100 BLOCK NW 53RD TER,Miami-Dade Police,8-26-2019 5:00 PM,"[-80.1897609, 25.7781291]",25.8354273
1526,BURGLARY - RESIDENCE,1908260064513,0 BLOCK NW 79TH ST,Miami Police,8-26-2019 4:06 PM,"[-80.23807699999999, 25.7973019]",25.8354273
1527,CRIMINAL MISCHIEF / VANDALISM,1908260064502,200 BLOCK SE 3RD AV,Miami Police,8-26-2019 3:14 PM,"[-80.2425681, 25.8479395]",25.8354273
1528,RETAIL THEFT,1908260064499,3400 BLOCK N MIAMI AV,Miami Police,8-26-2019 3:11 PM,"[-80.2089586, 25.7923837]",25.8354273
1529,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064501,NW 6TH AV / NW 24TH ST,Miami Police,8-26-2019 2:58 PM,"[-80.1870618, 25.8063171]",25.8354273
1530,PETIT THEFT,1908260064494,1700 BLOCK NW 6TH ST,Miami Police,8-26-2019 2:49 PM,"[-80.1899493, 25.783461]",25.8354273
1531,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064479,800 BLOCK SW 4TH ST,Miami Police,8-26-2019 2:17 PM,"[-80.26088100000001, 25.7969552]",25.8354273
1532,THEFT/LARCENY,PD190826306142,3100 BLOCK NW 72ND AVE,Miami-Dade Police,8-26-2019 2:06 PM,"[-80.207235, 25.78967]",25.8354273
1533,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064493,700 BLOCK NW 1ST ST,Miami Police,8-26-2019 2:01 PM,"[-80.1934782, 25.7642719]",25.8354273
1534,THEFT/LARCENY,PD190905318191,7700 BLOCK NW 9TH AVE,Miami-Dade Police,8-26-2019 2:00 PM,"[-80.20103499999999, 25.843084]",25.8354273
1535,BURGLARY,PD190831313003,5900 BLOCK NW 29TH AVE,Miami-Dade Police,8-26-2019 2:00 PM,"[-80.2322715, 25.7503912]",25.8354273
1536,FRAUDULENT USE OF CREDIT CARDS / MORE THAN 2 TIMES IN 6 MOS OR $100 OR MORE,1908260064491,1200 BLOCK SW 22ND ST,Miami Police,8-26-2019 1:56 PM,"[-80.2122618, 25.848811]",25.8354273
1537,GRAND THEFT,1908260064481,2400 BLOCK N MIAMI AVE,Miami Police,8-26-2019 1:50 PM,"[-80.1976147, 25.7714436]",25.8354273
1538,DRUGS/ALCOHOL VIOLATIONS,PD190826306060,900 BLOCK N CRUISE BLVD,Miami-Dade Police,8-26-2019 1:23 PM,"[-80.248925, 25.7560479]",25.8354273
1539,CRIMINAL MISCHIEF / VANDALISM,1908260064466,1200 BLOCK NW 40TH ST,Miami Police,8-26-2019 12:59 PM,"[-80.20241209999999, 25.8360026]",25.8354273
1540,ASSAULT,PD190826306475,3300 BLOCK NW 27TH AVE,Miami-Dade Police,8-26-2019 12:58 PM,"[-80.2229916, 25.7752076]",25.8354273
1541,FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),1908260064463,1700 BLOCK NW 17TH AV,Miami Police,8-26-2019 12:46 PM,"[-80.19124889999999, 25.7659532]",25.8354273
1542,BATTERY / SIMPLE,1908260064464,6400 BLOCK SW 6TH ST,Miami Police,8-26-2019 12:41 PM,"[-80.19654160000002, 25.7882169]",25.8354273
1543,THEFT - ALL OTHER,1908260064451,200 BLOCK NE 4TH ST,Miami Police,8-26-2019 12:39 PM,"[-80.1923449, 25.7619992]",25.8354273
1544,BATTERY / SIMPLE,1908260064470,BISCAYNE BLVD / NE 15TH ST,Miami Police,8-26-2019 12:39 PM,"[-80.24583489999999, 25.7753528]",25.8354273
1545,CRIMINAL MISCHIEF / VANDALISM,1908260064468,6600 BLOCK N MIAMI AV,Miami Police,8-26-2019 12:33 PM,"[-80.203502, 25.8102029]",25.8354273
1546,VEHICLE BREAK-IN/THEFT,PD190826306007,3600 BLOCK NW 71ST ST,Miami-Dade Police,8-26-2019 12:18 PM,"[-80.2075004, 25.8039245]",25.8354273
1547,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064448,100 BLOCK SW 6TH AV,Miami Police,8-26-2019 12:16 PM,"[-80.2161363, 25.8209973]",25.8354273
1548,THEFT - ALL OTHER,1908260064456,3400 BLOCK N MIAMI AV,Miami Police,8-26-2019 12:10 PM,"[-80.14241, 25.956064]",25.8354273
1549,THEFT/LARCENY,PD190826306384,8200 BLOCK NW 1ST PL,Miami-Dade Police,8-26-2019 12:00 PM,"[-80.2007023, 25.8398894]",25.8354273
1550,AUTO THEFT,1908260064465,1200 BLOCK NW 36TH ST,Miami Police,8-26-2019 11:59 AM,"[-80.18708099999999, 25.8127679]",25.8354273
1551,SIMPLE ASSAULT,1908260064437,900 BLOCK SW 5TH ST,Miami Police,8-26-2019 11:52 AM,"[-80.312907, 25.783109]",25.8354273
1552,ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,1908260064445,1600 BLOCK NW 17TH AV,Miami Police,8-26-2019 11:41 AM,"[-80.1889978, 25.8477054]",25.8354273
1553,VEHICLE BREAK-IN/THEFT,PD190826306031,3200 BLOCK NW 68TH ST,Miami-Dade Police,8-26-2019 11:30 AM,"[-80.3061043, 25.7688131]",25.8354273
1554,SIMPLE ASSAULT,1908260064438,1400 BLOCK NW 3RD AV,Miami Police,8-26-2019 11:20 AM,"[-80.2091682, 25.7656987]",25.8354273
1555,BATTERY / SIMPLE,1908260064430,200 BLOCK NW 15TH ST,Miami Police,8-26-2019 11:11 AM,"[-80.2091682, 25.7656987]",25.8354273
1556,BURGLARY / STRUCTURE NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908260064436,7000 BLOCK BISCAYNE BLVD,Miami Police,8-26-2019 11:11 AM,"[-80.1994936, 25.7736788]",25.8354273
1557,BURGLARY - OTHER STRUCTURE,1908260064436,7000 BLOCK BISCAYNE BLVD,Miami Police,8-26-2019 11:11 AM,"[-80.2312508, 25.7832135]",25.8354273
1558,BURGLARY / STRUCTURE NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908260064436,7000 BLOCK BISCAYNE BLVD,Miami Police,8-26-2019 11:11 AM,"[-80.2144223, 25.7509014]",25.8354273
1559,CRIMINAL MISCHIEF / VANDALISM,1908260064435,6400 BLOCK SW 6TH ST,Miami Police,8-26-2019 10:57 AM,"[-80.2074995, 25.7679307]",25.8354273
1560,GRAND THEFT - FROM POSTED DESIGNATED CONSTRUCTION SITE (GREATER THAN $300),1908260064454,700 BLOCK NW 17TH AV,Miami Police,8-26-2019 10:54 AM,"[-80.2166048, 25.8319692]",25.8354273
1561,"GRAND THEFT - UNSPECIFIED - $5,000 TO LESS THAN $10,000",1908260064441,1300 BLOCK S MIAMI AV,Miami Police,8-26-2019 10:52 AM,"[-80.2166048, 25.8319692]",25.8354273
1562,THEFT - ALL OTHER,1908260064423,400 BLOCK NW 25TH CT,Miami Police,8-26-2019 10:46 AM,"[-80.2464592, 25.7829154]",25.8354273
1563,BATTERY / SIMPLE,1908260064433,600 BLOCK SW 71ST CT,Miami Police,8-26-2019 10:31 AM,"[-80.23408669999999, 25.808345]",25.8354273
1564,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064418,3200 BLOCK NW 11TH CT,Miami Police,8-26-2019 10:23 AM,"[-80.2391626, 25.7723011]",25.8354273
1565,THEFT - FROM MOTOR VEHICLE,1908260064444,4800 BLOCK SW 8TH ST,Miami Police,8-26-2019 10:10 AM,"[-80.21861349999999, 25.8304637]",25.8354273
1566,THEFT - FROM MOTOR VEHICLE,1908260064413,5100 BLOCK NW 18TH AVE,Miami Police,8-26-2019 10:06 AM,"[-80.19488779999999, 25.7981408]",25.8354273
1567,THEFT/LARCENY,PD190903315772,JMH MAIN,Miami-Dade Police,8-26-2019 10:00 AM,"[-80.1823531, 25.8400951]",25.8354273
1568,ORGANIZED FRAUD: ENGAGES IN SCHEME - COMMUNICATES WITH VICTIM - $300 OR MORE,1908260064407,800 BLOCK NW 32ND PL,Miami Police,8-26-2019 9:55 AM,"[-80.22699209999999, 25.8329115]",25.8354273
1569,THEFT - FROM MOTOR VEHICLE,1908260064422,1700 BLOCK SW 22ND ST,Miami Police,8-26-2019 9:48 AM,"[-80.30435729999999, 25.7703362]",25.8354273
1570,THEFT - FROM MOTOR VEHICLE,1908260064404,1000 BLOCK SW 2ND AV,Miami Police,8-26-2019 9:39 AM,"[-80.2393617, 25.7771144]",25.8354273
1571,OVERDUE RENTAL,1908260064420,1000 BLOCK NE 1ST AV,Miami Police,8-26-2019 9:38 AM,"[-80.23408669999999, 25.808345]",25.8354273
1572,CRIMINAL MISCHIEF / VANDALISM,1908260064411,100 BLOCK NW 58TH ST,Miami Police,8-26-2019 9:32 AM,"[-80.2249121, 25.8317881]",25.8354273
1573,BURGLARY,PD190826305845,1900 BLOCK NW 58TH ST,Miami-Dade Police,8-26-2019 9:28 AM,"[-80.2061007, 25.774768]",25.8354273
1574,CRIMINAL MISCHIEF / VANDALISM,1908260064400,400 BLOCK SW 11TH AV,Miami Police,8-26-2019 8:59 AM,"[-80.2474649, 25.7954186]",25.8354273
1575,GRAND THEFT,1908260064410,500 BLOCK NE 79TH ST,Miami Police,8-26-2019 8:44 AM,"[-80.2474649, 25.7954186]",25.8354273
1576,THEFT/LARCENY,PD190826306367,8200 BLOCK NW 1ST PL,Miami-Dade Police,8-26-2019 8:30 AM,"[-80.2595071, 25.7643724]",25.8354273
1577,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064381,1600 BLOCK NW 16TH ST,Miami Police,8-26-2019 8:01 AM,"[-80.18819429999999, 25.7936568]",25.8354273
1578,THEFT/LARCENY,PD190904317334,3000 BLOCK NW 51ST ST,Miami-Dade Police,8-26-2019 8:00 AM,"[-80.2029191, 25.7787135]",25.8354273
1579,AUTO THEFT,1908260064384,1600 BLOCK SW 32ND AV,Miami Police,8-26-2019 7:56 AM,"[-80.23514019999999, 25.8002091]",25.8354273
1580,BURGLARY - MOTOR VEHICLE (CONVEYANCE),1908260064382,0 BLOCK NE 23RD ST,Miami Police,8-26-2019 7:45 AM,"[-80.19522169999999, 25.7994323]",25.8354273
1581,ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1908260064375,800 BLOCK SW 5TH ST,Miami Police,8-26-2019 7:03 AM,"[-80.2556742, 25.7789449]",25.8354273
1582,AUTO THEFT,1908260064374,400 BLOCK NW 25TH CT,Miami Police,8-26-2019 6:50 AM,"[-80.2356109, 25.8462895]",25.8354273
1583,THEFT/LARCENY,PD190826305704,3100 BLOCK NW 34TH ST,Miami-Dade Police,8-26-2019 6:00 AM,"[-80.2043345, 25.7718853]",25.8354273
1584,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064367,SW 29TH AV / SW 15TH ST,Miami Police,8-26-2019 5:44 AM,"[-80.20221699999999, 25.8244011]",25.8354273
1585,CRIMINAL MISCHIEF / VANDALISM,1908260064365,2600 BLOCK NW 22ND CT,Miami Police,8-26-2019 5:25 AM,"[-80.1871748, 25.7916203]",25.8354273
1586,BURGLARY / STRUCTURE NOT OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),1908260064363,1600 BLOCK NE 2ND AV,Miami Police,8-26-2019 4:28 AM,"[-80.2525414, 25.7990665]",25.8354273
1587,BURGLARY - OTHER STRUCTURE,1908260064363,1600 BLOCK NE 2ND AV,Miami Police,8-26-2019 4:28 AM,"[-80.24564219999999, 25.8353525]",25.8354273
1588,BURGLARY - OTHER STRUCTURE,1908260064363,1600 BLOCK NE 2ND AV,Miami Police,8-26-2019 4:28 AM,"[-80.23117239999999, 25.7788279]",25.8354273
1589,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064358,"1400 BLOCK NW 3RD ST,",Miami Police,8-26-2019 2:27 AM,"[-80.20864159999999, 25.8352608]",25.8354273
1590,BATTERY / SIMPLE,1908260064353,1600 BLOCK NW 23RD ST,Miami Police,8-26-2019 2:15 AM,"[-80.2870509, 25.7958723]",25.8354273
1591,ASSAULT,PD190826305509,3500 BLOCK NW 79TH ST,Miami-Dade Police,8-26-2019 2:07 AM,"[-80.2514956, 25.8431635]",25.8354273
1592,GRAND THEFT - A FIREARM,1908260064344,NW 12TH AV / NW 46TH ST,Miami Police,8-26-2019 1:45 AM,"[-80.2247127, 25.7691413]",25.8354273
1593,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908260064345,2500 BLOCK NW 2ND AV,Miami Police,8-26-2019 1:27 AM,"[-80.21699629999999, 25.835723]",25.8354273
1594,BATTERY / SIMPLE,1908260064339,NW 2ND AV / NW 24TH ST,Miami Police,8-26-2019 12:21 AM,"[-80.1989456, 25.7968478]",25.8354273
1595,ROBBERY,PD190826305464,6100 BLOCK NW 27TH AVE,Miami-Dade Police,8-26-2019 12:05 AM,"[-80.1917654, 25.7739849]",25.8354273
1596,FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),1908260064333,100 BLOCK NW 11TH AV,Miami Police,8-26-2019 12:02 AM,"[-80.20302439999999, 25.7999916]",25.8354273
1597,THEFT/LARCENY,PD190830311326,800 BLOCK NW 76TH ST,Miami-Dade Police,8-26-2019 12:00 AM,"[-80.24263069999999, 25.7905058]",25.8354273
1598,ASSAULT,PD190826036185,NW 14TH CT & NW 79TH ST,Miami-Dade Police,8-26-2019 12:00 AM,"[-80.27564919999999, 25.7639184]",25.8354273
1599,ASSAULT,PD190825305439,NW 18TH AVE & NW 68TH ST,Miami-Dade Police,8-25-2019 11:45 PM,"[-80.27564919999999, 25.7639184]",25.8354273
1600,MOTOR VEHICLE THEFT,PD190826305872,2700 BLOCK NW 73RD ST,Miami-Dade Police,8-25-2019 11:00 PM,"[-80.2129138, 25.7638463]",25.8354273
1601,ROBBERY,PD190826306621,700 BLOCK NW 81ST ST,Miami-Dade Police,8-25-2019 11:00 PM,"[-80.2129138, 25.7638463]",25.8354273
1602,RETAIL THEFT,1908250064326,7900 BLOCK NW 6TH AV,Miami Police,8-25-2019 10:45 PM,"[-80.24476109999999, 25.8213037]",25.8354273
1603,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908250064329,1400 BLOCK SW 3RD ST,Miami Police,8-25-2019 10:29 PM,"[-80.21617239999999, 25.7676578]",25.8354273
1604,BATTERY / DOMESTIC,1908250064323,1300 BLOCK NW 3RD ST,Miami Police,8-25-2019 10:27 PM,"[-80.2431019, 25.7650536]",25.8354273
1605,BATTERY / DOMESTIC,1908250064323,1300 BLOCK NW 3RD ST,Miami Police,8-25-2019 10:27 PM,"[-80.24157009999999, 25.8339429]",25.8354273
1606,CRIMINAL MISCHIEF / VANDALISM,1908250064322,7100 BLOCK NW 7TH AV,Miami Police,8-25-2019 10:03 PM,"[-80.2338087, 25.7973966]",25.8354273
1607,CRIMINAL MISCHIEF / VANDALISM,1908250064318,1300 BLOCK NW 15TH ST,Miami Police,8-25-2019 9:45 PM,"[-80.2427168, 25.8207796]",25.8354273
1608,THEFT/LARCENY,PD190825305323,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-25-2019 8:57 PM,"[-80.2127544, 25.7917353]",25.8354273
1609,THEFT/LARCENY,PD190825305346,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-25-2019 8:23 PM,"[-80.2406919, 25.756592]",25.8354273
1610,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",1908250064307,700 BLOCK NW 1ST AV,Miami Police,8-25-2019 8:00 PM,"[-80.3123426, 25.8218178]",25.8354273
1611,THEFT/LARCENY,PD190827306937,7200 BLOCK NW 6TH ST,Miami-Dade Police,8-25-2019 8:00 PM,"[-80.2356109, 25.8462895]",25.8354273
1612,MOTOR VEHICLE THEFT,PD190826305473,NW 77TH TER & NW 22ND AVE,Miami-Dade Police,8-25-2019 8:00 PM,"[-80.1889374, 25.7726325]",25.8354273
1613,"GRAND THEFT - UNSPECIFIED - $20,000 TO LESS THAN $100,000",1908250064304,400 BLOCK BRICKELL AV,Miami Police,8-25-2019 7:54 PM,"[-80.19546140000001, 25.8082999]",25.8354273
1614,THEFT - FROM MOTOR VEHICLE,1908250064296,1500 BLOCK NW 67TH ST,Miami Police,8-25-2019 7:41 PM,"[-80.2051353, 25.7999374]",25.8354273
1615,THEFT/LARCENY,PD190905318851,3200 BLOCK NW 79TH ST,Miami-Dade Police,8-25-2019 7:32 PM,"[-80.22313419999999, 25.77888]",25.8354273
1616,BATTERY / SIMPLE,1908250064294,600 BLOCK SW 1ST CT,Miami Police,8-25-2019 7:31 PM,"[-80.2075747, 25.7698578]",25.8354273
1617,ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,1908250064295,2200 BLOCK NW 6TH ST,Miami Police,8-25-2019 6:48 PM,"[-80.3137948, 25.8031326]",25.8354273
1618,CRIMINAL MISCHIEF / VANDALISM,1908250064285,3100 BLOCK NW 5TH AV,Miami Police,8-25-2019 6:44 PM,"[-80.20611740000001, 25.7747676]",25.8354273
1619,THEFT OF BICYCLE,1908250064276,5400 BLOCK NW 2ND AV,Miami Police,8-25-2019 6:09 PM,"[-80.2123958, 25.8451593]",25.8354273
1620,CRIMINAL MISCHIEF / VANDALISM,1908250064273,NW 2ND AVE AND NW 28 TH ST,Miami Police,8-25-2019 5:52 PM,"[-80.2430179, 25.828434]",25.8354273
1621,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,1908250064281,800 BLOCK NW 13TH AV,Miami Police,8-25-2019 5:41 PM,"[-80.2144223, 25.7509014]",25.8354273
1622,THEFT - OF MOTOR VEHICLE PARTS,1908250064265,5600 BLOCK NW 2ND AV,Miami Police,8-25-2019 5:07 PM,"[-80.19523749999999, 25.80003]",25.8354273
1623,ASSAULT,PD190825305070,2200 BLOCK NW 65TH ST,Miami-Dade Police,8-25-2019 4:49 PM,"[-80.1715427, 25.7764442]",25.8354273
